vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
2.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
3.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
4.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
5.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
6.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
7.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
8.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
9.00000000e-02,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.00000000e-01,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.10000000e-01,1.23000000e+03,1.85000000e+00,-1.85137520e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.20000000e-01,1.23000000e+03,1.85000000e+00,-1.85137521e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.30000000e-01,1.23000000e+03,1.85000000e+00,-1.85137521e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.40000000e-01,1.23000000e+03,1.85000000e+00,-1.85137523e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.50000000e-01,1.23000000e+03,1.85000000e+00,-1.85137527e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.60000000e-01,1.23000000e+03,1.85000000e+00,-1.85137535e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.70000000e-01,1.23000000e+03,1.85000000e+00,-1.85137553e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
1.80000000e-01,1.23000000e+03,1.85000000e+00,-1.85137591e-12,3.31249406e-01,4.99493278e-02,9.77473479e+01,3.28506973e+00,9.18295754e+04,-1.82035216e-01
