vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
1.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
2.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
3.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
4.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
5.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
6.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137520e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
7.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137521e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
8.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137521e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
9.00000000e-02,4.19900000e+03,1.85000000e+00,-1.85137522e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
1.00000000e-01,4.19900000e+03,1.85000000e+00,-1.85137523e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
1.10000000e-01,4.19900000e+03,1.85000000e+00,-1.85137526e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
1.20000000e-01,4.19900000e+03,1.85000000e+00,-1.85137531e-12,3.78418958e-01,6.21249393e-02,1.02608399e+02,6.82920838e+00,1.14975826e+05,-1.92951485e-01
