vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
2.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
3.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
4.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
5.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
6.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
7.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
8.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
9.00000000e-02,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.00000000e-01,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.10000000e-01,7.99900000e+03,1.85000000e+00,-1.85137520e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.20000000e-01,7.99900000e+03,1.85000000e+00,-1.85137521e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.30000000e-01,7.99900000e+03,1.85000000e+00,-1.85137522e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
1.40000000e-01,7.99900000e+03,1.85000000e+00,-1.85137523e-12,3.31345308e-01,4.99740827e-02,9.77572311e+01,3.29227549e+00,9.18766352e+04,-1.82057411e-01
