 0.00000000e+00  1.48000000e+00  0.00000000e+00  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.00000000e-02  1.48000000e+00  1.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 2.00000000e-02  1.48000000e+00  2.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 3.00000000e-02  1.48000000e+00  3.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 4.00000000e-02  1.48000000e+00  4.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 5.00000000e-02  1.48000000e+00  5.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 6.00000000e-02  1.48000000e+00  6.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 7.00000000e-02  1.48000000e+00  7.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 8.00000000e-02  1.48000000e+00  8.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 9.00000000e-02  1.48000000e+00  9.00000000e-02  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.00000000e-01  1.48000000e+00  1.00000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.10000000e-01  1.48000000e+00  1.10000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.20000000e-01  1.48000000e+00  1.20000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.30000000e-01  1.48000000e+00  1.30000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.40000000e-01  1.48000000e+00  1.40000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.50000000e-01  1.48000000e+00  1.50000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.60000000e-01  1.48000000e+00  1.60000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.70000000e-01  1.48000000e+00  1.70000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.80000000e-01  1.48000000e+00  1.80000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 1.90000000e-01  1.48000000e+00  1.90000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
 2.00000000e-01  1.48000000e+00  2.00000000e-01  1.48148160e-12  1.38275156e+00  1.59603991e+00  9.98012260e-01  1.55789637e+00  3.47780436e+01  1.44122569e+00  5.14831832e+00 
