vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,6.76200000e+03,0.00000000e+00,-1.85137537e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,6.76200000e+03,1.00000000e-02,-1.85137546e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,6.76200000e+03,2.00000000e-02,-1.85137565e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,6.76200000e+03,3.00000000e-02,-1.85137594e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,6.76200000e+03,4.00000000e-02,-1.85137639e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,6.76200000e+03,5.00000000e-02,-1.85137713e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,6.76200000e+03,6.00000000e-02,-1.85137833e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,6.76200000e+03,7.00000000e-02,-1.85138027e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,6.76200000e+03,8.00000000e-02,-1.85138341e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,6.76200000e+03,9.00000000e-02,-1.85138850e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,6.76200000e+03,1.00000000e-01,-1.85139674e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.10000000e-01,6.76200000e+03,1.10000000e-01,-1.85141010e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.20000000e-01,6.76200000e+03,1.20000000e-01,-1.85143174e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.30000000e-01,6.76200000e+03,1.30000000e-01,-1.85146681e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.40000000e-01,6.76200000e+03,1.40000000e-01,-1.85152361e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.50000000e-01,6.76200000e+03,1.50000000e-01,-1.85161563e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.60000000e-01,6.76200000e+03,1.60000000e-01,-1.85176470e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.70000000e-01,6.76200000e+03,1.70000000e-01,-1.85200622e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.80000000e-01,6.76200000e+03,1.80000000e-01,-1.85239748e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.90000000e-01,6.76200000e+03,1.90000000e-01,-1.85303135e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-01,6.76200000e+03,2.00000000e-01,-1.85405824e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.10000000e-01,6.76200000e+03,2.10000000e-01,-1.85572185e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.20000000e-01,6.76200000e+03,2.20000000e-01,-1.85841695e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.30000000e-01,6.76200000e+03,2.30000000e-01,-1.86278309e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.40000000e-01,6.76200000e+03,2.40000000e-01,-1.86985633e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.50000000e-01,6.76200000e+03,2.50000000e-01,-1.88131503e-12,3.75815528e-01,6.68841409e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
